Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.072289,0.44891,0.15298,0,0,0,178.19,16.776,1.5293E-05,0.77967,20.092,-2.2719E-06,14.899,0,0,0,0,0,0,package://final_assembly/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_assembly/meshes/base_link.STL,,Fixed_cart-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rotating_base,0.024869,0.10251,-0.027374,0,0,0,0.77259,0.0014127,-1.8434E-06,0.00019779,0.00088369,3.42E-06,0.0013745,0,0,0,0,0,0,package://final_assembly/meshes/rotating_base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_assembly/meshes/rotating_base.STL,,newww_rotating_plate-1,Origin_rotating_base,Axis1,rotating_base,revolute,0,0,0.045424,1.5708,0,-2.0317,base_link,0,-1,0,4.5,3.5,-2.3562,2.3562,,,,,,,,
shoulder,0.063103,0.045836,0.037369,0,0,0,0.46371,0.00035088,-0.00013303,-9.8295E-05,0.00044325,-7.9348E-05,0.00045698,0,0,0,0,0,0,package://final_assembly/meshes/shoulder.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_assembly/meshes/shoulder.STL,,new_shoulder_link-1,Origin_shoulder,Axis2,shoulder,revolute,0,0.12958,0,2.3589,-0.32422,2.0182,rotating_base,0.51152,0,-0.85927,35,3.5,-2.3562,2.3562,,,,,,,,
elbow,0.0017381,0.10938,0.0074051,0,0,0,0.36962,0.00051366,-3.0964E-06,-4.8085E-05,0.00032161,-1.324E-05,0.00031982,0,0,0,0,0,0,package://final_assembly/meshes/elbow.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_assembly/meshes/elbow.STL,,elbow_link-1,Origin_elbow,Axis3,elbow,revolute,0.15881,0.11561,0.094538,0.42408,0.10284,-2.2417,shoulder,0.22813,0,0.97363,15,3.5,-2.3562,2.3562,,,,,,,,
wrist,-0.010066874919804,0.0660734516836123,-0.000208932410058274,0,0,0,0.549039968722864,0.0034469650675977,-0.000525732533765176,-2.93891615862394E-05,0.000407260203910346,0.000123190232387327,0.00332842828812665,0,0,0,0,0,0,package://final_assembly/meshes/wrist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final_assembly/meshes/wrist.STL,,Wrist_link-1,Origin_wrist,Axis4,wrist,revolute,3.1123E-05,0.19594,0,-0.18323,-0.087677,-0.89091,elbow,0.22813,0,0.97363,4.5,3.5,-2.3562,2.3562,,,,,,,,
roll,5.18505294255789E-10,0.00123809515255657,6.9728272633629E-07,0,0,0,0.000352834501272486,3.52133555342966E-09,-1.40592850238264E-15,1.03054363229842E-14,2.80572273971748E-09,-9.86655039287721E-13,3.97771151100351E-09,0,0,0,0,0,0,package://final_assembly/meshes/roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final_assembly/meshes/roll.STL,,z1-1,Origin_roll,Axis5,roll,revolute,-0.10786,-0.40669,0.022706,2.8203,-1.4417,0.1443,wrist,0,1,0,1.2748,3.5,-1.5708,1.5708,,,,,,,,
pitch,-2.46105501255922E-09,0.0087185364787965,-0.000900962051008536,0,0,0,0.000312033346328647,4.28824784148058E-09,-2.81317956209701E-14,2.55412803280749E-14,2.38530688150666E-09,-2.61423178722263E-12,3.48783068607668E-09,0,0,0,0,0,0,package://final_assembly/meshes/pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final_assembly/meshes/pitch.STL,,z2-1,Origin_pitch,Axis6,pitch,revolute,0,0.01,0,0.19092,0,-3.1416,roll,-1,0,0,1.2748,3.5,-1.5708,1.5708,,,,,,,,
yaw1,0.0046176,0.0033779,-0.00030197,0,0,0,9.0457E-05,1.7646E-10,-1.0054E-10,-1.2365E-10,1.2916E-09,-1.4212E-11,1.2433E-09,0,0,0,0,0,0,package://final_assembly/meshes/yaw1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_assembly/meshes/yaw1.STL,,z3-1,Origin_yaw1,Axis7,yaw1,revolute,0,0.014672,-0.00089717,0,0,2.9999,pitch,0,0,1,1.2748,3.5,-1.5708,1.5708,,,,,,,,
yaw2,0.0088209,-0.0084729,0.0005952,0,0,0,9.0457E-05,1.7646E-10,-1.0054E-10,-1.2365E-10,1.2916E-09,-1.4212E-11,1.2433E-09,0,0,0,0,0,0,package://final_assembly/meshes/yaw2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_assembly/meshes/yaw2.STL,,z3-2,Origin_yaw2,Axis8,yaw2,revolute,-0.0014122,0.0021325,0,-3.1416,0,0.2514,pitch,0,0,1,1.2748,3.5,-1.5708,1.5708,,,,,,,,
wound,-2.4157284740844E-05,-0.00828924428490896,1.51144531989233E-05,0,0,0,0.349262041359426,0.000720089733290022,2.35334748681716E-08,-5.93902848473676E-07,0.00139606550256426,-1.47241549835883E-08,0.000719512090427776,0,0,0,0,0,0,package://final_assembly/meshes/wound.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final_assembly/meshes/wound.STL,,Pack and go 8-II( Updated Final Assembly File)Base Rotator_old-1,Origin_wound,Axis9,wound,revolute,0,0,0.813,-1.5708,0,-2.9267,base_link,0,1,0,1.2748,3.5,-1.5708,1.5708,,,,,,,,
